brand,model,min_cost_price,max_cost_price,vehicle_age,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,sale_state
Hyundai,i20,860000,1128000,10,160000,Diesel,0,21.9,1396,90,5,270000,Madhya Pradesh
Ford,Figo,613000,791000,10,40000,Petrol,0,15.6,1196,70,5,130000,Himachal Pradesh
Maruti,Swift Dzire,653000,995000,9,46000,Petrol,0,19.1,1197,85.8,5,370000,Maharashtra
Maruti,Baleno,668000,1042000,4,25000,Petrol,0,21.4,1197,83.1,5,570000,Madhya Pradesh
Volkswagen,Polo,706216.3743,1150549.708,8,90000,Diesel,0,22.07,1199,73.9,5,365000,Maharashtra
Hyundai,i20,854082.8652,1307925.562,9,49566,Petrol,0,18.5,1197,82.85,5,280000,Madhya Pradesh
Hyundai,Verna,1309000,1829000,3,14000,Diesel,1,22,1582,126.2,5,1250000,Maharashtra
Hyundai,i20,803000,1341000,5,11000,Petrol,0,18.6,1197,81.83,5,590000,Madhya Pradesh
Maruti,Celerio,530000,665000,3,5000,Petrol,1,23.1,998,67.04,5,475000,Madhya Pradesh
Ford,Ecosport,1014000,1379000,4,55000,Diesel,0,23,1498,98.96,5,685000,Rajasthan
Hyundai,Verna,1183685.851,1732925.659,9,65000,Diesel,1,19.08,1582,126.32,5,380000,West Bengal
Renault,KWID,397000,648000,3,22000,Petrol,0,23.01,999,67,5,330000,Karnataka
Maruti,Baleno,668000,1042000,3,7671,Petrol,0,21.01,1197,81.8,5,650000,Jammu and Kashmir
Maruti,Wagon R,511000,679000,5,66000,Petrol,0,20.51,998,67.04,5,325000,Tamil Nadu
Maruti,Swift Dzire,656000,1004000,3,45156,Petrol,1,21.21,1197,81.8,5,640000,Uttar Pradesh
Hyundai,Venue,719000,1212000,2,25000,Petrol,0,18.27,998,118.35,5,949000,Maharashtra
Hyundai,Verna,1284000,1809000,6,120000,Diesel,0,23.9,1582,126.2,5,660000,Madhya Pradesh
Maruti,Swift,635000,927000,7,28000,Petrol,0,16.1,1197,85,5,435000,Maharashtra
Hyundai,i20,974000,1309000,8,55000,Diesel,0,21.9,1396,88.76,5,385000,Madhya Pradesh
Hyundai,Verna,1309000,1829000,2,14000,Diesel,1,22,1582,126.2,5,1250000,Maharashtra
Maruti,Wagon R,530000,707000,12,98780,Petrol,0,18.9,998,67.1,5,155000,Madhya Pradesh
Maruti,Swift,629140.5229,920202.6144,6,58000,Diesel,0,25.2,1248,74,5,415000,Goa
Maruti,Alto,357003.861,465401.5444,10,30000,Petrol,0,20.92,998,67.1,5,251000,Maharashtra
Mahindra,Scorpio,1510000,1992000,5,46400,Diesel,0,15.4,2179,120,7,1150000,Madhya Pradesh
Hyundai,i10,698320,729333.3333,7,32111,Petrol,0,19.81,1086,68.05,5,310000,Madhya Pradesh
Datsun,GO,480000,788000,6,35000,Petrol,0,19.44,1198,67,7,350000,Maharashtra
Mahindra,Scorpio,1510000,1992000,4,30000,Diesel,0,15.4,1997,120,7,1125000,Madhya Pradesh
BMW,5,7440307.692,8352307.692,5,63000,Diesel,1,18.59,2993,261.49,5,2600000,Rajasthan
Datsun,GO,497000,809000,3,10000,Petrol,0,20.62,1198,67,7,480000,West Bengal
Maruti,Swift Dzire,675762.0482,990132.5301,4,25000,Diesel,1,28.4,1248,74.02,5,850000,Karnataka
Hyundai,Creta,1170000,1975000,4,102000,Diesel,1,17.01,1582,126.2,5,1100000,Jammu and Kashmir
Maruti,Swift,629140.5229,920202.6144,3,35000,Petrol,0,22,1197,81.8,5,575000,Tamil Nadu
Maruti,Swift Dzire,656000,1004000,9,49948,Petrol,0,17.5,1298,85.8,5,340000,Uttar Pradesh
Ford,Ecosport,1015000,1371000,3,55000,Diesel,0,23,1498,98.96,5,925000,Maharashtra
Hyundai,Grand,648000,657000,6,36000,Petrol,0,18.9,1197,82,5,400000,Madhya Pradesh
Honda,City,1268000,1680000,5,49625,Petrol,0,17.8,1497,117.3,5,725000,Punjab
Maruti,Swift Dzire,675762.0482,990132.5301,7,35000,Diesel,0,23.4,1248,74,5,600000,Haryana
Mahindra,Scorpio,1479000,1920000,8,95000,Diesel,0,12.05,2179,120,8,550000,Himachal Pradesh
Ford,Aspire,972000,1008000,4,36000,Diesel,0,25.83,1498,99,5,585000,Maharashtra
Maruti,Wagon R,536000,712000,2,50000,Petrol,0,21.79,998,67.05,5,411000,Madhya Pradesh
Maruti,Swift Dzire,680000,1013000,6,26500,Petrol,0,20.85,1197,83.14,5,450000,Nagaland
Honda,CR-V,3264000,3405000,6,80000,Petrol,1,13.7,1997,153.86,5,1290000,Maharashtra
Volkswagen,Polo,706216.3743,1150549.708,6,46000,Petrol,0,16.47,1198,74,5,455000,Madhya Pradesh
Hyundai,Grand,596000,891000,2,9000,Petrol,0,20.7,1197,81.86,5,710000,Maharashtra
Honda,City,1268000,1680000,5,53000,Petrol,0,16.8,1497,116.3,5,770000,Madhya Pradesh
Ford,Endeavour,3627000,4273000,3,11387,Diesel,1,10.91,3198,197,7,2900000,Rajasthan
Honda,Amaze,899000,1166000,3,50000,Diesel,0,25.8,1498,98.6,5,720000,West Bengal
Mahindra,KUV,687900,872866.6667,5,52000,Diesel,0,25.32,1198,77,5,375000,Karnataka
Datsun,GO,480000,788000,6,35000,Petrol,0,19.44,1198,67,7,400000,Maharashtra
Renault,Duster,1143444.444,1690333.333,6,48000,Diesel,0,19.87,1461,83.8,5,600000,Madhya Pradesh
Honda,Jazz,856000,1099000,3,18000,Petrol,0,18.7,1199,88.7,5,600000,Uttar Pradesh
Maruti,Wagon R,545348.135,691769.0941,9,57413,LPG,0,14.4,998,61.7,5,270000,Maharashtra
Hyundai,i20,763000,1266000,6,30000,Petrol,0,18.6,1197,81.83,5,500000,Madhya Pradesh
Hyundai,Verna,1309000,1829000,6,55000,Diesel,0,23.9,1582,126.2,5,650000,Punjab
Maruti,Swift,629000,914000,3,10000,Petrol,1,21.21,1197,81.8,5,660000,Haryana
BMW,3,5124421.488,5811851.24,5,68000,Diesel,1,22.69,1995,190,5,2090000,Maharashtra
Kia,Seltos,1152000,2026000,1,8000,Petrol,0,16.8,1497,113.4,5,1275000,Madhya Pradesh
Maruti,Swift,629140.5229,920202.6144,6,65000,Diesel,0,28.4,1248,74,5,495000,Goa
Hyundai,Grand,711000,748000,5,25000,Petrol,0,18.9,1197,82,5,475000,Nagaland
Maruti,Ciaz,942000,1272000,6,70000,Petrol,0,20.73,1373,91.1,5,530000,Andhra Pradesh
Tata,Tiago,553000,782000,5,9500,Petrol,0,23.84,1199,84,5,530000,Gujarat
Hyundai,Verna,1018000,1587000,6,9100,Petrol,0,17.01,1591,121.3,5,650000,Maharashtra
Honda,City,1224000,1617000,11,86000,Petrol,0,17,1497,118,5,335000,Madhya Pradesh
Audi,A4,5004692.308,5511153.846,8,78000,Diesel,1,16.55,1968,147.51,5,1290000,Rajasthan
Ford,Figo,829387.5,918104.1667,10,60000,Diesel,0,20,1399,68,5,300000,Maharashtra
Maruti,Wagon R,511000,679000,2,7883,Petrol,1,21.5,1197,81.8,5,550000,Madhya Pradesh
Maruti,Swift Dzire,675762.0482,990132.5301,8,50205,Diesel,0,23.4,1248,74,5,390000,Maharashtra
Mahindra,Bolero,893000,1047000,13,220000,Diesel,0,13.6,2523,63,7,260000,Madhya Pradesh
Tata,Tigor,632380.9524,875952.381,4,58000,Diesel,0,24.7,1047,69,5,395000,Uttar Pradesh
Mahindra,Scorpio,1490000,1943000,9,170000,Diesel,0,12.05,2179,120,8,550000,Bihar
Maruti,Swift Dzire,662000,995000,3,15000,Petrol,0,22,1197,81.8,5,650000,Kerala 
Maruti,Swift,629140.5229,920202.6144,5,71245,Diesel,0,28.4,1248,74,5,375000,Maharashtra
Kia,Seltos,1119000,1920000,2,7000,Petrol,0,16.1,1353,138,5,1300000,Madhya Pradesh
Maruti,Alto,357003.861,465401.5444,3,20000,Petrol,0,23.95,998,67.05,5,360000,Himachal Pradesh
Maruti,Celerio,530000,665000,1,8700,Petrol,0,21.63,998,67.04,5,505000,Sikkim
Maruti,Alto,347000,466000,2,25000,Petrol,0,24.7,796,47.3,5,310000,Goa
Hyundai,i20,803000,1341000,6,42000,Petrol,0,18.6,1197,81.86,5,545000,Maharashtra
Mahindra,Bolero,905000,1069000,15,120000,Diesel,0,13.6,2523,63,7,150000,Madhya Pradesh
Maruti,Baleno,658000,1017000,3,50000,Petrol,0,21.4,1197,83.1,5,580000,Gujarat
Maruti,Wagon R,535000,713000,10,58000,Petrol,0,18.9,998,67.1,5,250000,Maharashtra
Hyundai,Verna,1054000,1652000,4,36000,Petrol,0,17.43,1396,105.5,5,650000,Madhya Pradesh
Maruti,Ertiga,926776,1149968,3,30000,Diesel,0,25.47,1248,88.5,7,410000,Rajasthan
Ford,Ecosport,1014000,1379000,6,162828,Diesel,0,22.77,1498,98.59,5,531000,West Bengal
Ford,Ecosport,988897.1963,1354828.66,3,7500,Diesel,0,23,1498,98.96,5,890000,Karnataka
Tata,Safari,1485000,2141000,5,47227,Diesel,0,14,2179,138.1,7,775000,Maharashtra
Maruti,Wagon R,615000,623000,3,52000,CNG,0,33.54,998,67.04,5,435000,Madhya Pradesh
Ford,Figo,896000,946000,9,74000,Diesel,0,20,1399,68.05,5,185000,Uttar Pradesh
Mahindra,Bolero,905000,1069000,10,47000,Diesel,0,15.96,2523,62.1,7,440000,Bihar
Hyundai,i20,763000,1266000,6,50000,Petrol,0,18.6,1197,81.83,5,450000,Kerala 
Maruti,Baleno,693000,1063000,4,100000,Petrol,0,21.4,1197,83.1,5,600000,Punjab
Maruti,Celerio,512000,648000,7,35000,Petrol,0,23.1,998,67.04,5,320000,Haryana
Hyundai,i20,854082.8652,1307925.562,5,50000,Diesel,0,21.19,1396,88.73,5,700000,Maharashtra
Ford,Aspire,685000,845000,3,10000,Petrol,0,18.16,1196,86.8,5,630000,Madhya Pradesh
Maruti,Alto,347000,465000,5,10370,Petrol,0,22.74,796,47.3,5,320000,Maharashtra
Honda,City,1268000,1680000,8,62000,Petrol,0,16.8,1497,116.3,5,465000,Madhya Pradesh
Hyundai,i20,854082.8652,1307925.562,5,40000,Petrol,0,18.6,1197,81.83,5,550000,Andhra Pradesh
Maruti,Swift,629000,914000,4,60000,Petrol,0,22,1197,81.8,5,445000,Gujarat
Tata,Safari,1485000,2141000,8,67231,Diesel,0,14,2179,138.1,7,705000,Maharashtra
Maruti,Wagon R,597000,604000,8,64000,CNG,0,33.54,998,67.04,5,270000,Madhya Pradesh
Honda,City,1330978.362,1707437.403,7,63000,Diesel,0,26,1498,98.6,5,475000,Rajasthan
Toyota,Fortuner,3886000,4464000,6,80000,Diesel,0,12.55,2982,168.5,7,1755000,West Bengal
Honda,City,1268000,1680000,10,55000,Petrol,0,16.9,1497,100,5,350000,Karnataka
Hyundai,i20,803000,1341000,5,11000,Petrol,0,18.6,1197,81.83,5,575000,Jammu and Kashmir
Renault,KWID,381000,629000,4,17000,Petrol,0,23.01,999,67,5,360000,Tamil Nadu
Maruti,Alto,347000,465000,4,25000,Petrol,0,24.7,796,47.3,5,275000,Uttar Pradesh
Datsun,GO,471000,774000,5,33350,Petrol,0,19.44,1198,67,7,320000,Bihar
Hyundai,Grand,648000,657000,6,62000,Petrol,0,18.9,1197,82,5,370000,Kerala 
Maruti,Swift Dzire,662000,995000,12,59000,Petrol,0,17.5,1298,85.8,5,275000,Maharashtra
Honda,City,1268000,1680000,7,86113,Petrol,0,17.4,1497,117.3,5,550000,Madhya Pradesh
Maruti,Swift Dzire,675762.0482,990132.5301,3,10000,Diesel,0,28.4,1248,74.02,5,750000,Himachal Pradesh
Maruti,Wagon R,535000,713000,6,92537,Petrol,0,20.51,998,67.04,5,272000,Sikkim
Maruti,Ciaz,978964.0288,1340179.856,2,27645,Diesel,0,28.09,1248,88.5,5,951000,Maharashtra
Maruti,Alto,357003.861,465401.5444,8,46242,Petrol,0,20.92,998,67.1,5,280000,Madhya Pradesh
Honda,City,1313000,1745000,8,70000,Petrol,0,16.8,1497,116.3,5,545000,Andhra Pradesh
Renault,KWID,380218.3908,633298.8506,1,6000,Petrol,0,22.3,799,53.26,5,450000,Gujarat
Hyundai,i20,770000,1278000,4,64000,Petrol,0,18.6,1197,81.83,5,480000,Maharashtra
Mahindra,Scorpio,1521000,1961000,4,93000,Diesel,0,15.4,1997,120,7,1060000,Madhya Pradesh
Maruti,Alto,347000,466000,8,26200,Petrol,0,22.74,796,47.3,5,235000,Maharashtra
Maruti,Baleno,675000,1035000,4,25000,Petrol,0,21.4,1197,83.1,5,590000,Madhya Pradesh
Toyota,Fortuner,3997000,4624000,3,50000,Diesel,1,12.9,2755,174.5,7,2950000,Karnataka
Hyundai,Santro,554219.5122,725658.5366,13,80000,Petrol,0,17.92,1086,62.1,5,110000,Maharashtra
Mahindra,Scorpio,1550000,2009000,14,110000,Diesel,0,13.5,2179,115,5,280000,Madhya Pradesh
Audi,A4,4880000,5376000,5,55000,Petrol,1,17.84,1395,147.51,5,1851000,Uttar Pradesh
Honda,City,1280000,1701000,3,25000,Petrol,0,17.4,1497,117.3,5,750000,Bihar
Hyundai,Grand,648000,657000,6,36000,Petrol,0,18.9,1197,81.86,5,400000,Kerala 
Maruti,Swift Dzire,675762.0482,990132.5301,6,40000,Diesel,0,26.59,1248,74,5,530000,Punjab
Mahindra,Thar,1412000,1620000,3,25000,Diesel,0,16.55,2498,105,6,870000,Maharashtra
Renault,KWID,343000,578000,3,30038,Petrol,0,25.17,799,53.3,5,295000,Madhya Pradesh
Tata,Tiago,564111.1111,790633.3333,4,53000,Diesel,0,27.28,1047,69,5,370000,Maharashtra
Maruti,Swift,635000,930000,3,5000,Petrol,0,21.21,1197,81.8,5,530000,Madhya Pradesh
Renault,KWID,362000,609000,4,35000,Petrol,1,24.04,999,67,5,350000,Nagaland
Ford,Ecosport,1005000,1348000,8,62000,Diesel,0,22.7,1498,89.84,5,470000,Andhra Pradesh
Ford,Aspire,962000,1001000,6,42000,Diesel,0,25.83,1498,99,5,390000,Maharashtra
Mahindra,Scorpio,1510000,1992000,6,80000,Diesel,0,15.4,2179,120,7,920000,Madhya Pradesh
Mahindra,XUV500,1654000,2328000,8,60000,Diesel,0,15.1,2179,140,7,550000,Madhya Pradesh
Hyundai,Verna,1309000,1829000,7,45000,Diesel,0,22.32,1582,126.32,5,635000,Rajasthan
Mahindra,XUV500,1654000,2328000,4,50000,Diesel,1,16,2179,140,7,1250000,West Bengal
Maruti,Alto,347000,465000,3,12000,Petrol,0,24.7,796,47.3,5,300000,Karnataka
Honda,City,1280000,1701000,3,12000,Petrol,1,18,1497,117.6,5,960000,Maharashtra
Maruti,Vitara,839666.6667,1323333.333,3,15000,Diesel,0,24.3,1248,88.5,5,750000,Madhya Pradesh
Volkswagen,Polo,694000,1119000,10,63000,Petrol,0,16.47,1198,73.9,5,249000,Madhya Pradesh
Tata,Hexa,1410000,1410000,3,30000,Diesel,0,17.6,2179,153.86,7,1400000,Maharashtra
Ford,Figo,884000,953000,10,160800,Diesel,0,20,1399,68,5,250000,Madhya Pradesh
Hyundai,Verna,1284000,1809000,7,120000,Diesel,0,22.32,1582,126.32,5,610000,Punjab
Ford,Ecosport,1014000,1379000,5,78247,Diesel,0,21.7,1498,98.96,5,545000,Haryana
Hyundai,Verna,1132000,1588000,8,113000,Diesel,0,22.32,1582,126.3,5,480000,Himachal Pradesh
Hyundai,i20,803000,1341000,7,52000,Petrol,0,18.6,1197,81.83,5,395000,Sikkim
Toyota,Innova,2017158.73,2955126.984,9,109000,Diesel,0,12.99,2494,100.6,7,495000,Maharashtra
Hyundai,Grand,681000,716000,4,90000,Petrol,0,18.9,1197,82,5,470000,Madhya Pradesh
Volkswagen,Polo,706216.3743,1150549.708,10,98000,Diesel,0,22.07,1199,73.9,5,200000,Andhra Pradesh
Hyundai,i20,854082.8652,1307925.562,5,20000,Diesel,0,21.19,1396,88.73,5,699000,Gujarat
Maruti,Wagon R,536000,712000,7,21717,Petrol,0,20.51,998,67.04,5,340000,Maharashtra
Renault,Duster,1143444.444,1690333.333,7,40000,Diesel,0,20.45,1461,83.8,5,500000,Maharashtra
Honda,City,1313000,1745000,4,50000,Petrol,0,17.14,1497,117.6,5,1050000,Madhya Pradesh
Renault,Duster,1143444.444,1690333.333,5,90000,Diesel,0,19.6,1461,108.45,5,600000,West Bengal
Maruti,Swift,635000,927000,4,27876,Petrol,0,20.4,1197,81.8,5,491000,Karnataka
Land Rover,Rover,7025000,7415000,5,56000,Petrol,1,12.63,1999,177,5,2890000,Maharashtra
Hyundai,i10,698320,729333.3333,13,57215,Petrol,0,20.36,1197,78.9,5,160000,Madhya Pradesh
Hyundai,Venue,806000,1375000,2,5400,Petrol,0,18.27,998,118.35,5,985000,Maharashtra
Maruti,Swift Dzire,675762.0482,990132.5301,7,60000,Diesel,0,23.4,1248,74,5,500000,Madhya Pradesh
Tata,Tiago,563000,789000,4,24800,Petrol,0,23.84,1199,84,5,335000,Kerala 
Maruti,Alto,357003.861,465401.5444,16,70000,Petrol,0,19.7,796,46.3,5,85000,Punjab
Honda,Jazz,851000,1096000,3,20000,Petrol,1,17.1,1199,88.51,5,740000,Haryana
Maruti,Swift,604000,898000,8,34553,Petrol,0,22,1197,81.8,5,375000,Himachal Pradesh
Maruti,Vitara,839666.6667,1323333.333,3,40000,Diesel,0,24.3,1248,88.5,5,810000,Sikkim
Volkswagen,Polo,706216.3743,1150549.708,11,350000,Petrol,0,16.47,1198,73.9,5,173000,Goa
Maruti,Vitara,839666.6667,1323333.333,4,50000,Diesel,0,24.3,1248,88.5,5,700000,Nagaland
Mahindra,KUV,687900,872866.6667,5,70000,Diesel,0,25.32,1198,77,6,310000,Andhra Pradesh
Mahindra,Scorpio,1510000,1992000,4,120000,Diesel,0,15.4,1997,120,7,850000,Gujarat
Hyundai,i20,960000,1274000,8,90000,Diesel,0,22.54,1396,88.76,5,285000,Maharashtra
Maruti,Swift Dzire,675762.0482,990132.5301,7,120000,Diesel,0,23.4,1248,74,5,450000,Madhya Pradesh
Hyundai,Creta,1232000,2080000,4,80000,Diesel,0,19.67,1582,126.2,5,1100000,Maharashtra
Mahindra,Scorpio,1479000,1920000,4,30000,Diesel,0,15.4,1997,120,7,1080000,Madhya Pradesh
Honda,City,1400000,1649000,7,66100,Diesel,0,26,1498,98.6,5,530000,Maharashtra
Maruti,Swift Dzire,675762.0482,990132.5301,4,50000,Diesel,0,28.4,1248,74.02,5,680000,Madhya Pradesh
Mahindra,Scorpio,1510000,1992000,4,42000,Diesel,0,15.4,1997,120,7,1025000,Tamil Nadu
Hyundai,i20,797000,1346000,4,55000,Petrol,0,18.6,1197,81.83,5,650000,Uttar Pradesh
Hyundai,i10,698320,729333.3333,9,110699,Petrol,0,20.36,1197,78.9,5,194000,Bihar
